,ID,Label,Hemi,Network,regions,x,y,z,
293,294,FOP3_R,R,Insular_and_Frontal_Opercular,cortex,56.149813,133.580524,83.445693,
294,295,FOP2_R,R,Insular_and_Frontal_Opercular,cortex,49.524038,122.612981,86.716346,
295,296,PFt_R,R,Inferior_Parietal,cortex,36.126206,103.276912,110.400148,
296,297,AIP_R,R,Superior_Parietal,cortex,53.147097,85.464516,115.539355,
297,298,EC_R,R,Medial_Temporal,cortex,70.108232,115.451982,45.18064,
298,299,PreS_R,R,Medial_Temporal,cortex,70.221751,95.334746,62.004237,
299,300,H_R,R,Medial_Temporal,cortex,60.712375,103.927258,54.33194,
300,301,ProS_R,R,Posterior_Cingulate,cortex,70.101423,77.854093,73.617438,
301,302,PeEc_R,R,Medial_Temporal,cortex,63.003326,117.21583,36.977054,
302,303,STGa_R,R,Auditory_Association,cortex,41.594035,142.606208,49.973828,
303,304,PBelt_R,R,Early_Auditory,cortex,33.096591,107.575487,79.568994,
