,ID,Label,Network,x,y,z,colors
280,281,RH_DorsAttn_Post_11,DorsAttn,36,-44,44,#3C9F4D
281,282,RH_DorsAttn_Post_12,DorsAttn,20,-68,52,#3C9F4D
282,283,RH_DorsAttn_Post_13,DorsAttn,36,-36,52,#3C9F4D
283,284,RH_DorsAttn_Post_14,DorsAttn,34,-50,54,#3C9F4D
284,285,RH_DorsAttn_Post_15,DorsAttn,8,-72,52,#3C9F4D
285,286,RH_DorsAttn_Post_16,DorsAttn,26,-58,60,#3C9F4D
286,287,RH_DorsAttn_Post_17,DorsAttn,8,-54,60,#3C9F4D
287,288,RH_DorsAttn_Post_18,DorsAttn,14,-64,64,#3C9F4D
288,289,RH_DorsAttn_Post_19,DorsAttn,24,-50,68,#3C9F4D
289,290,RH_DorsAttn_FEF_1,DorsAttn,40,-4,52,#3C9F4D
290,291,RH_DorsAttn_FEF_2,DorsAttn,28,-4,52,#3C9F4D
291,292,RH_DorsAttn_FEF_3,DorsAttn,24,-2,64,#3C9F4D
292,293,RH_DorsAttn_PrCv_1,DorsAttn,48,8,24,#3C9F4D
293,294,RH_SalVentAttn_TempOccPar_1,VentAttn,60,-46,6,#E586E5
294,295,RH_SalVentAttn_TempOccPar_2,VentAttn,52,-40,12,#E586E5
295,296,RH_SalVentAttn_TempOccPar_3,VentAttn,62,-40,22,#E586E5
296,297,RH_SalVentAttn_TempOccPar_4,VentAttn,58,-32,24,#E586E5
297,298,RH_SalVentAttn_TempOccPar_5,VentAttn,60,-22,22,#E586E5
298,299,RH_SalVentAttn_TempOccPar_6,VentAttn,62,-26,38,#E586E5
299,300,RH_SalVentAttn_TempOccPar_7,VentAttn,62,-38,36,#E586E5
300,301,RH_SalVentAttn_PrC_1,VentAttn,52,4,40,#E586E5
301,302,RH_SalVentAttn_FrOperIns_1,VentAttn,40,6,-16,#E586E5
302,303,RH_SalVentAttn_FrOperIns_2,VentAttn,40,8,-2,#E586E5
303,304,RH_SalVentAttn_FrOperIns_3,VentAttn,40,-10,-4,#E586E5
304,305,RH_SalVentAttn_FrOperIns_4,VentAttn,40,-2,6,#E586E5
305,306,RH_SalVentAttn_FrOperIns_5,VentAttn,36,22,4,#E586E5
306,307,RH_SalVentAttn_FrOperIns_6,VentAttn,38,8,10,#E586E5
307,308,RH_SalVentAttn_FrOperIns_7,VentAttn,48,4,4,#E586E5
308,309,RH_SalVentAttn_FrOperIns_8,VentAttn,54,12,12,#E586E5
309,310,RH_SalVentAttn_PFCl_1,VentAttn,32,44,28,#E586E5
310,311,RH_SalVentAttn_Med_1,VentAttn,8,18,36,#E586E5
311,312,RH_SalVentAttn_Med_2,VentAttn,8,2,42,#E586E5
312,313,RH_SalVentAttn_Med_3,VentAttn,12,-34,42,#E586E5
313,314,RH_SalVentAttn_Med_4,VentAttn,6,10,58,#E586E5
314,315,RH_SalVentAttn_Med_5,VentAttn,10,-44,54,#E586E5
315,316,RH_SalVentAttn_Med_6,VentAttn,10,-32,50,#E586E5
316,317,RH_SalVentAttn_Med_7,VentAttn,6,-2,66,#E586E5
317,318,RH_SalVentAttn_Med_8,VentAttn,16,6,70,#E586E5
318,319,RH_Limbic_OFC_1,Limbic,14,24,-20,#F6EFD1
319,320,RH_Limbic_OFC_2,Limbic,22,22,-20,#F6EFD1
320,321,RH_Limbic_OFC_3,Limbic,8,46,-24,#F6EFD1
