,ID,Label,Hemi,x,y,z,n_vertices
269,218,R_VentralAttn_17,R,52.67409,-31.068161,-2.2086933,42
270,219,R_VentralAttn_18,R,53.54492,22.1425,9.043887,30
271,220,R_VentralAttn_19,R,49.25914,38.185146,-10.685426,15
272,221,R_VentralAttn_20,R,46.818443,27.99369,-7.0958424,59
273,222,R_VentralAttn_21,R,30.980984,18.006227,-18.535995,56
274,223,R_VentralAttn_22,R,58.68097,-9.723466,-9.4290285,20
275,224,R_VentralAttn_23,R,48.903893,-23.391499,-9.05565,22
276,243,R_Visual_19,R,22.779032,-85.99746,25.080976,108
277,244,R_Visual_20,R,22.145882,-48.34466,-11.2351465,15
278,245,R_Visual_21,R,12.783562,-77.15583,4.9456997,256
279,246,R_Visual_22,R,16.178492,-47.896145,-2.6345778,59
280,247,R_Visual_23,R,12.969957,-58.409615,-5.941431,32
281,248,R_Visual_24,R,27.225065,-58.04274,54.994698,70
282,249,R_Visual_25,R,14.972323,-79.55517,34.638905,30
283,250,R_Visual_26,R,6.6641917,-86.74278,32.689117,17
284,251,R_Visual_27,R,33.273342,-79.99979,20.61622,39
285,252,R_Visual_28,R,32.604496,-90.51789,1.6756207,210
286,253,R_Visual_29,R,47.271904,-70.65248,-0.43366292,98
287,254,R_Visual_30,R,47.945736,-53.967567,-16.713636,143
288,255,R_Visual_31,R,48.134483,-60.94381,9.097671,50
289,256,R_Visual_32,R,30.455336,-49.6052,-8.50832,13
290,257,R_Visual_33,R,27.544472,-69.280975,-12.411093,152
291,258,R_Visual_34,R,35.258884,-44.872917,-23.213186,65
292,259,R_Visual_35,R,9.493388,-93.84823,15.850713,40
293,260,R_Visual_36,R,7.5945854,-74.644806,-4.3310957,31
294,261,R_Visual_37,R,20.94608,-89.750275,-11.673471,34
295,262,R_Visual_38,R,4.1002474,-78.120346,23.431074,30
296,263,R_Visual_39,R,13.784903,-70.570984,20.731003,18
297,282,R_SMhand_19,R,18.87026,-48.51682,66.95429,114
298,283,R_SMhand_20,R,16.490988,-31.733175,67.163574,82
299,284,R_SMhand_21,R,3.8328133,-25.332369,65.20623,105
300,285,R_SMhand_22,R,8.86175,-42.038998,65.63159,58
301,286,R_SMhand_23,R,4.798855,-17.256166,50.51487,14
302,287,R_SMhand_24,R,7.8984656,-7.8682804,49.79249,27
303,288,R_SMhand_25,R,35.33144,-19.879818,59.17188,60
304,289,R_SMhand_26,R,20.741192,-25.760237,63.59971,34
305,290,R_SMhand_27,R,12.156787,-27.790264,70.50246,20
306,291,R_SMhand_28,R,28.087294,-12.372411,62.601543,52
307,292,R_SMhand_29,R,16.656042,-16.540237,70.84605,31
308,293,R_SMhand_30,R,19.750267,-6.1458745,64.260475,45
309,294,R_SMhand_31,R,30.28671,-43.250603,60.01139,41
310,295,R_SMhand_32,R,33.669357,-42.65318,49.905426,18
311,296,R_SMhand_33,R,38.65782,-33.39718,43.057693,108
312,297,R_SMhand_34,R,27.389791,-36.70445,62.146282,57
313,298,R_SMhand_35,R,38.312782,-35.881104,57.19933,19
314,299,R_SMhand_36,R,36.39635,-24.791351,54.596615,97
315,300,R_SMhand_37,R,49.10403,-25.582905,52.257786,39
316,301,R_SMhand_38,R,52.49924,-24.366072,41.402164,55
317,306,R_SMmouth_5,R,49.87752,-8.199142,36.203182,55
318,307,R_SMmouth_6,R,42.342354,-11.598902,47.358425,47
319,308,R_SMmouth_7,R,56.093697,-8.7536335,30.194708,147
320,309,R_SMmouth_8,R,46.26461,-16.056408,48.142223,25
321,322,R_Auditory_13,R,36.28814,-22.598904,13.288087,49
322,323,R_Auditory_14,R,39.491398,-29.573887,16.512829,52
323,324,R_Auditory_15,R,54.96968,-17.389965,5.984595,59
324,325,R_Auditory_16,R,59.07616,-41.2015,11.989397,40
325,326,R_Auditory_17,R,63.946636,-26.01946,-1.4011744,20
326,327,R_Auditory_18,R,60.928413,-27.041948,9.079062,51
327,328,R_Auditory_19,R,40.30089,-13.346735,16.833054,41
328,329,R_Auditory_20,R,38.47664,-10.597282,11.781316,20
329,330,R_Auditory_21,R,61.47693,-4.7676997,9.921401,36
330,331,R_Auditory_22,R,54.766804,-15.116619,14.478876,51
331,332,R_Auditory_23,R,39.840553,-23.027988,3.1618283,9
332,333,R_Auditory_24,R,53.889973,-1.7812647,-4.2358103,67
